iter	Passed	Remaining
1048	207442	781321
1049	207628	781080
1050	207794	780763
1051	207976	780503
1052	208151	780222
1053	208342	780000
1054	208578	779944
1055	208787	779788
1056	208981	779578
1057	209152	779279
1058	209402	779276
1059	209565	778952
1060	209753	778717
1061	209973	778601
1062	210178	778433
1063	210390	778285
1064	210558	777980
1065	210755	777779
1066	210924	777476
1067	211102	777204
1068	211276	776919
1069	211453	776645
1070	211614	776313
1071	211814	776125
1072	212011	775926
1073	212227	775795
1074	212430	775619
1075	212641	775470
1076	212815	775186
1077	212989	774900
1078	213189	774715
1079	213385	774510
1080	213564	774245
1081	213767	774065
1082	213955	773834
1083	214171	773705
1084	214373	773523
1085	214562	773292
1086	214739	773022
1087	214903	772705
1088	215062	772368
1089	215238	772095
1090	215432	771885
1091	215629	771686
1092	215811	771432
1093	216025	771292
1094	216215	771069
1095	216439	770968
1096	216648	770810
1097	216848	770621
1098	217082	770554
1099	217267	770312
1100	217489	770200
1101	217691	770019
1102	217878	769783
1103	218061	769537
1104	218277	769403
1105	218472	769197
1106	218645	768912
1107	218832	768679
1108	218997	768367
1109	219188	768146
1110	219376	767917
1111	219556	767658
1112	219725	767362
1113	219914	767132
1114	220081	766831
1115	220250	766536
1116	220419	766238
1117	220614	766033
1118	220815	765849
1119	220992	765582
1120	221169	765312
1121	221345	765043
1122	221533	764812
1123	221729	764610
1124	221906	764344
1125	222061	764001
1126	222267	763833
1127	222466	763643
1128	222672	763476
1129	222876	763302
1130	223037	762980
1131	223211	762703
1132	223382	762417
1133	223592	762266
1134	223789	762068
1135	223943	761724
1136	224164	761606
1137	224336	761325
1138	224520	761083
1139	224700	760829
1140	224900	760641
1141	225096	760438
1142	225304	760278
1143	225490	760045
1144	225666	759776
1145	225823	759445
1146	225993	759157
1147	226153	758835
1148	226327	758563
1149	226516	758338
1150	226698	758090
1151	226870	757808
1152	227049	757552
1153	227217	757259
1154	227426	757103
1155	227622	756905
1156	227851	756812
1157	228063	756666
1158	228248	756430
1159	228443	756227
1160	228638	756022
1161	228813	755753
1162	229028	755615
1163	229198	755330
1164	229399	755148
1165	229575	754882
1166	229778	754706
1167	229965	754474
1168	230146	754225
1169	230312	753929
1170	230500	753702
1171	230666	753404
1172	230855	753184
1173	231039	752943
1174	231252	752799
1175	231439	752571
1176	231590	752225
1177	231750	751910
1178	231934	751672
1179	232154	751550
1180	232328	751280
1181	232516	751056
1182	232686	750773
1183	232876	750555
1184	233050	750283
1185	233298	750252
1186	233500	750073
1187	233696	749875
1188	233890	749670
1189	234054	749368
1190	234213	749050
1191	234367	748717
1192	234590	748603
1193	234761	748325
1194	234954	748119
1195	235133	747864
1196	235314	747620
1197	235533	747492
1198	235729	747297
1199	235935	747128
1200	236171	747056
1201	236351	746809
1202	236518	746518
1203	236696	746263
1204	236902	746094
1205	237081	745841
1206	237263	745599
1207	237435	745327
1208	237600	745031
1209	237813	744885
1210	238011	744696
1211	238215	744522
1212	238402	744294
1213	238589	744070
1214	238790	743885
1215	238975	743654
1216	239160	743420
1217	239355	743221
1218	239552	743025
1219	239732	742778
1220	239968	742703
1221	240136	742418
1222	240335	742228
1223	240511	741970
1224	240679	741685
1225	240845	741396
1226	241022	741140
1227	241199	740883
1228	241397	740690
1229	241598	740508
1230	241782	740275
1231	241959	740019
1232	242156	739824
1233	242366	739670
1234	242575	739510
