iter	RMSE
1151	4.567240257
1152	4.567083392
1153	4.566856426
1154	4.565946033
1155	4.565736223
1156	4.564978338
1157	4.564523772
1158	4.564352012
1159	4.564037833
1160	4.563570695
1161	4.563221129
1162	4.56273681
1163	4.56220338
1164	4.56175443
1165	4.56149823
1166	4.561182108
1167	4.561002518
1168	4.560902697
1169	4.560794218
1170	4.560602332
1171	4.560432054
1172	4.560284622
1173	4.560084253
1174	4.559650133
1175	4.559338232
1176	4.559213009
1177	4.559121797
1178	4.558880957
1179	4.558427224
1180	4.558273687
1181	4.557818377
1182	4.557634272
1183	4.557453464
1184	4.557138307
1185	4.55665733
1186	4.556144312
1187	4.555981379
1188	4.554963525
1189	4.554732614
1190	4.554584906
1191	4.554103911
1192	4.553758197
1193	4.553673472
1194	4.553035129
1195	4.552570896
1196	4.551985149
1197	4.551446592
1198	4.55120257
1199	4.550696788
1200	4.55032558
1201	4.550172477
1202	4.550047656
1203	4.549937994
1204	4.549451187
1205	4.548470986
1206	4.548132576
1207	4.548018903
1208	4.547900712
1209	4.547416015
1210	4.546966209
1211	4.546022817
1212	4.545783674
1213	4.545369674
1214	4.54521936
1215	4.54511876
1216	4.544979972
1217	4.544416057
1218	4.544289753
1219	4.544205181
1220	4.543785527
1221	4.543662806
1222	4.543513118
1223	4.543424992
1224	4.543327885
1225	4.543137917
1226	4.54279759
1227	4.542227217
1228	4.542156915
1229	4.541690113
1230	4.541285193
1231	4.540962692
1232	4.540501216
1233	4.539639744
1234	4.539314168
1235	4.53882854
1236	4.53851219
1237	4.538230953
1238	4.5378662
1239	4.537611237
1240	4.536485574
1241	4.536390694
1242	4.535455754
1243	4.535323469
1244	4.534806907
1245	4.534300544
1246	4.53386395
1247	4.533337404
1248	4.532749898
1249	4.532608986
1250	4.532507438
1251	4.532149672
1252	4.531997137
1253	4.531659893
1254	4.531228591
1255	4.53101931
1256	4.530327904
1257	4.529935882
1258	4.529743932
1259	4.529322142
1260	4.52901208
1261	4.5289117
1262	4.528820492
1263	4.528302725
1264	4.528071944
1265	4.52797719
1266	4.527375971
1267	4.526894097
1268	4.526561826
1269	4.526090722
1270	4.525728307
1271	4.525264236
1272	4.524694419
1273	4.52451256
1274	4.524135933
1275	4.524018037
1276	4.523670417
1277	4.523575252
1278	4.523126198
1279	4.523002708
1280	4.522409101
1281	4.521467883
1282	4.521018057
1283	4.520524494
1284	4.520116305
1285	4.519777937
1286	4.519496295
1287	4.518601434
1288	4.518365045
1289	4.517487774
1290	4.517081805
1291	4.516779318
1292	4.516689186
1293	4.516169053
1294	4.516019957
1295	4.515490154
1296	4.515350921
1297	4.515215682
1298	4.51509285
1299	4.514970775
1300	4.514846021
1301	4.514658781
1302	4.514202519
1303	4.513997189
1304	4.513877234
1305	4.51338611
1306	4.512972715
1307	4.512703879
1308	4.512228657
1309	4.512047461
1310	4.511155247
1311	4.511012074
1312	4.510888903
1313	4.510381744
1314	4.510156856
1315	4.509750089
1316	4.509662321
1317	4.508791251
1318	4.508576268
1319	4.508430471
1320	4.508308482
1321	4.508082593
1322	4.507984421
1323	4.507890875
1324	4.507418874
1325	4.507195871
1326	4.507029963
1327	4.506461515
1328	4.506329195
1329	4.505436551
1330	4.504944447
1331	4.504564835
1332	4.504348054
1333	4.503791859
1334	4.503621104
1335	4.503153428
1336	4.503040204
1337	4.502583623
1338	4.502124248
1339	4.501797112
1340	4.50147056
1341	4.500914302
1342	4.500440746
1343	4.500262716
1344	4.500107306
1345	4.499639576
1346	4.499082247
1347	4.498938079
1348	4.498855757
1349	4.498700989
1350	4.49785515
1351	4.497398362
1352	4.496917278
1353	4.496406879
1354	4.495538164
1355	4.494893545
1356	4.494269789
1357	4.494095103
1358	4.493984003
